City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Bowen,AU,-20.0167,148.2333,67.73,50,0,8.25,clear sky
290,Barranca,PE,-10.75,-77.7667,61.05,81,76,4.47,broken clouds
291,Kavaratti,IN,10.5669,72.642,81.28,83,100,18.92,overcast clouds
292,Baykit,RU,61.67,96.37,60.62,90,100,1.77,overcast clouds
293,Jaciara,BR,-15.9653,-54.9683,67.1,44,2,2.48,clear sky
294,Callaguip,PH,18.0714,120.4867,87.82,74,75,6.91,broken clouds
295,Hidalgotitlan,MX,17.7833,-94.6333,76.1,94,100,4.68,overcast clouds
296,Bela,IN,25.9333,81.9833,90.46,55,25,14.23,scattered clouds
297,Nouadhibou,MR,20.931,-17.0347,69.82,77,0,26.64,clear sky
298,Teplyk,UA,48.6657,29.745,58.66,88,34,12.5,scattered clouds
299,Fortuna,US,40.5982,-124.1573,63.93,84,100,1.99,overcast clouds
300,Half Moon Bay,US,37.4636,-122.4286,74.05,76,100,12.66,overcast clouds
301,Matara,LK,5.9485,80.5353,78.49,87,100,9.15,overcast clouds
302,Madingou,CG,-4.1536,13.55,68.47,78,21,2.08,few clouds
303,Turbat,PK,26.0023,63.044,89.71,60,98,9.66,light rain
304,Poum,NC,-20.2333,164.0167,77.4,88,93,21.54,overcast clouds
305,Soeng Sang,TH,14.4264,102.4606,82.62,72,100,7.9,overcast clouds
306,Itoman,JP,26.1247,127.6694,88.57,77,75,10.36,broken clouds
307,Arcata,US,40.8665,-124.0828,70.66,83,100,3.44,overcast clouds
308,Leningradskiy,RU,69.3833,178.4167,34.88,91,100,12.88,overcast clouds
309,Pagudpud,PH,18.5616,120.7868,87.35,66,29,2.53,scattered clouds
310,Seoul,KR,37.5683,126.9778,88.99,56,100,11.25,light rain
311,Naryan-Mar,RU,67.6713,53.087,64.04,75,8,12.8,clear sky
312,Taunton,GB,51.0211,-3.1047,63.88,87,9,4.0,clear sky
313,Tiksi,RU,71.6872,128.8694,41.76,75,100,3.53,overcast clouds
314,San Fernando,PH,15.0286,120.6898,87.53,76,96,4.52,overcast clouds
315,Port Lincoln,AU,-34.7333,135.8667,55.98,65,100,11.79,overcast clouds
316,Yumbe,UG,3.4651,31.2469,64.76,76,45,2.95,scattered clouds
317,Djibo,BF,14.1022,-1.6306,87.08,53,32,13.62,scattered clouds
318,Zwedru,LR,6.0667,-8.1281,70.72,98,100,2.55,overcast clouds
319,Rio Gallegos,AR,-51.6226,-69.2181,17.65,100,20,3.44,fog
320,Lakes Entrance,AU,-37.8811,147.981,53.17,69,85,11.34,overcast clouds
321,Acari,PE,-15.4311,-74.6158,62.55,80,36,1.32,scattered clouds
322,Olafsvik,IS,64.8945,-23.7142,52.45,95,100,26.15,overcast clouds
323,Horconcitos,PA,8.4682,-81.8007,68.36,95,100,4.76,overcast clouds
324,Banjar,ID,-8.19,114.9675,82.2,59,92,3.62,overcast clouds
325,Manzhouli,CN,49.6,117.4333,76.64,38,65,12.35,broken clouds
326,Verkhnyaya Toyma,RU,62.2349,44.9985,61.92,68,93,0.96,overcast clouds
327,Bella Union,UY,-30.2752,-57.6007,68.68,68,100,14.72,overcast clouds
328,Vallenar,CL,-28.5708,-70.7581,59.58,31,9,4.18,clear sky
329,Jieshi,CN,22.8134,115.8257,81.88,81,100,7.87,overcast clouds
330,Taltal,CL,-25.4,-70.4833,58.95,65,6,4.68,clear sky
331,Erzincan,TR,39.75,39.5,56.5,67,0,2.3,clear sky
332,Hofn,IS,64.2539,-15.2082,50.16,99,100,12.55,overcast clouds
333,Nueva Gerona,CU,21.8833,-82.8,82.02,73,31,5.19,scattered clouds
334,Tuy Hoa,VN,13.0833,109.3,88.66,62,100,12.37,overcast clouds
335,Marrakesh,MA,31.6315,-8.0083,80.67,47,0,2.3,clear sky
336,Gawan,IN,28.4333,78.35,94.01,45,79,14.5,broken clouds
337,Grindavik,IS,63.8424,-22.4338,52.27,100,100,27.63,mist
338,Georgetown,MY,5.4112,100.3354,86.9,77,20,0.0,few clouds
339,Huntington,US,38.4193,-82.4452,73.35,96,0,0.0,clear sky
340,Portree,GB,57.4129,-6.1942,52.52,96,77,2.13,broken clouds
341,Vardo,NO,70.3705,31.1107,51.78,82,17,6.91,few clouds
342,Port Hedland,AU,-20.3167,118.5667,71.65,14,15,18.41,few clouds
343,Kirksville,US,40.1948,-92.5833,76.05,94,75,3.44,broken clouds
